순서,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률
1,삼성KODEX WTI원유선물특별자산상장지수투자신탁[원유-파생형](H),삼성자산운용,매우높은위험,55.26,94.94,-14.56
2,미래에셋TIGER원유선물 특별자산상장지수투자신탁[원유-파생형],미래에셋자산운용,매우높은위험,53.11,92.98,24.41
3,KBKBSTAR미국S&P원유생산기업증권상장지수투자신탁(주식-파생형)(합성 H),케이비자산운용,매우높은위험,41.06,70.03,5.76
4,삼성KODEX미국에너지증권상장지수투자신탁[주식-파생형](합성),삼성자산운용,매우높은위험,50.02,67.8,30.09
5,한국투자KINDEX블룸버그베트남VN30선물레버리지증권상장지수투자신탁(주식-파생형)(H),한국투자신탁운용,매우높은위험,3.12,50.72,
6,미래에셋TIGER농산물선물특별자산상장지수투자신탁[농산물-파생형],미래에셋자산운용,높은위험,27.3,48.87,73.19
7,삼성KODEX3대농산물선물특별자산상장지수투자신탁[농산물-파생형](H),삼성자산운용,높은위험,33.21,44.98,76.24
8,미래에셋TIGER금속선물특별자산상장지수투자신탁[금속-파생형],미래에셋자산운용,높은위험,22.49,42.24,65.9
9,미래에셋TIGER차이나전기차SOLACTIVE증권상장지수투자신탁(주식-파생형),미래에셋자산운용,높은위험,-10.13,41.46,
10,미래에셋TIGER인도레버리지증권상장지수투자신탁(주식혼합-파생형)(합성),미래에셋자산운용,매우높은위험,-5.65,39.98,55.07
11,미래에셋TIGER미디어컨텐츠증권상장지수투자신탁(주식),미래에셋자산운용,매우높은위험,12.02,37.39,46.54
12,미래에셋TIGER라틴증권상장지수투자신탁(주식),미래에셋자산운용,매우높은위험,24.88,36.51,13.28
13,한국투자KINDEX베트남VN30증권상장지수투자신탁(주식-파생형)(합성),한국투자신탁운용,높은위험,5.1,35.37,76.4
14,미래에셋TIGER모닝스타글로벌자원생산기업증권상장지수투자신탁(주식-파생형)(합성H),미래에셋자산운용,매우높은위험,30.56,33.91,52.38
15,한국투자KINDEX멕시코MSCI증권상장지수투자신탁(주식-파생형)(합성),한국투자신탁운용,높은위험,14.84,30.38,30.36
16,KBKBSTAR차이나H선물인버스증권상장지수투자신탁(주식-파생형)(H),케이비자산운용,매우높은위험,8.64,29.81,18.45
17,미래에셋TIGERS&P500레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),미래에셋자산운용,매우높은위험,7.99,28.95,118.11
18,미래에셋TIGER나스닥100증권상장지수투자신탁[주식],미래에셋자산운용,높은위험,6.1,28.56,127.63
