순서,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률
1,우리큰만족신종MMF6,우리자산운용,매우낮은위험,0.89,1.39,4.49
2,Plus신종개인용MMF2,플러스자산운용,매우낮은위험,0.85,1.34,4.55
3,삼성베스트MMF법인 1,삼성자산운용,매우낮은위험,0.86,1.33,4.45
4,키움프런티어신종법인용 MMF 1,키움투자자산운용,낮은위험,0.85,1.32,4.38
5,한국투자신종법인용MMF 15,한국투자신탁운용,매우낮은위험,0.83,1.28,4.2
6,하나UBS신종MMF S-29,하나유비에스자산운용,매우낮은위험,0.81,1.26,4.23
7,유진챔피언HIT신종H-2MMF,유진자산운용,매우낮은위험,0.78,1.23,4.21
8,삼성MMF법인 1,삼성자산운용,매우낮은위험,0.78,1.22,4.2
9,우리큰만족신종MMF3,우리자산운용,매우낮은위험,0.79,1.22,4.06
10,NH-Amundi개인신종MMF 1,엔에이치아문디자산운용,매우낮은위험,0.75,1.2,4.14
11,현대클린개인MMF 1,현대자산운용,매우낮은위험,0.76,1.2,4.34
12,Plus신종법인용MMF 1,플러스자산운용,매우낮은위험,0.77,1.2,4.
13,BNK튼튼개인MMF 1,비엔케이자산운용,매우낮은위험,0.76,1.18,4.03
14,우리큰만족신종MMF 1,우리자산운용,매우낮은위험,0.74,1.16,3.89
15,신한BEST신종법인용MMFGS-2(종류),신한자산운용,매우낮은위험,0.71,1.15,4.07
16,삼성신종MMF종류형D 2,삼성자산운용,매우낮은위험,0.71,1.13,3.96
17,삼성헤리티지MMF 1,삼성자산운용,매우낮은위험,0.71,1.13,3.92
18,교보악사개인용MMF 1(운용),교보악사자산운용,매우낮은위험,0.71,1.12,3.82
19,DBNEW해오름신종MMF 3운용,디비자산운용,매우낮은위험,0.72,1.12,3.98
20,하이똑똑개인MMF 1,하이자산운용,매우낮은위험,0.72,1.12,3.82
21,한화스마트법인MMF 1,한화자산운용,매우낮은위험,0.68,1.11,3.96
22,키움법인MMF 1,키움투자자산운용,매우낮은위험,0.71,1.11,3.83
23,한국투자신종개인용MMF3,한국투자신탁운용,매우낮은위험,0.69,1.11,3.95
24,신한개인용MMF 2,신한자산운용,매우낮은위험,0.68,1.11,3.94
25,한국투자신종개인용MMF 10,한국투자신탁운용,매우낮은위험,0.69,1.09,3.87
26,신한BEST개인용MMF 1(종류),신한자산운용,매우낮은위험,0.68,1.09,3.89
27,한국투자신종개인용MMF 5,한국투자신탁운용,매우낮은위험,0.68,1.09,3.9
28,브이아이신종개인MMF1,브이아이자산운용,매우낮은위험,0.7,1.09,3.74
29,한국투자신종법인용MMF 1,한국투자신탁운용,매우낮은위험,0.67,1.09,3.96
30,삼성신종MMF 151,삼성자산운용,매우낮은위험,0.68,1.09,3.94
31,우리다같이법인MMF 1(국공채),우리자산운용,매우낮은위험,0.69,1.08,
32,신한신종개인용MMF,신한자산운용,매우낮은위험,0.67,1.08,3.78
33,미래에셋법인전용MMF A-4,미래에셋자산운용,매우낮은위험,0.67,1.08,3.97
34,브이아이신종개인MMF18,브이아이자산운용,매우낮은위험,0.69,1.08,3.69
35,우리뉴스타개인MMF 1(국공채),우리자산운용,매우낮은위험,0.69,1.07,3.7
36,NH-Amundi법인MMF 5,엔에이치아문디자산운용,매우낮은위험,0.66,1.07,3.83
37,신영신종MMF4-35(운용),신영자산운용,매우낮은위험,0.66,1.04,3.18
38,KB법인용MMF I-1(운용),케이비자산운용,매우낮은위험,0.65,1.03,3.81
39,IBK그랑프리국공채MMF법인투자신탁 1[국공채],아이비케이자산운용,매우낮은위험,0.63,1.02,3.52
40,교보악사프라임법인MMF J- 1(운용),교보악사자산운용,매우낮은위험,0.64,1.02,3.57
41,하나UBS클래스원신종MMF K-5,하나유비에스자산운용,매우낮은위험,0.63,1.02,3.54
42,신영신종법인용MMF4-26(운용),신영자산운용,매우낮은위험,0.67,1.02,3.35
43,KB개인용MMF P-1(운용),케이비자산운용,매우낮은위험,0.64,1.02,3.68
44,BNK법인MMF 1(국공채),비엔케이자산운용,매우낮은위험,0.65,1.01,3.42
45,키움프런티어법인용MMF 3[국공채],키움투자자산운용,매우낮은위험,0.64,1.01,3.48
46,NH-Amundi법인MMF 8,엔에이치아문디자산운용,매우낮은위험,0.64,1.01,3.56
47,NH-Amundi개인MMF 1[국공채],엔에이치아문디자산운용,매우낮은위험,0.63,1.01,3.53
48,현대클린법인MMF 1,현대자산운용,매우낮은위험,0.64,1.01,3.54
49,브이아이천하제일법인MMF1,브이아이자산운용,매우낮은위험,0.63,1.,3.52
50,삼성스마트MMF법인 1,삼성자산운용,매우낮은위험,0.61,1.,3.51
