순서,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률
1,삼성WTI원유특별자산투자신탁 1[WTI원유-파생형],삼성자산운용,매우높은위험,56.37,100.02,26.6
2,미래에셋로저스Commodity인덱스특별자산자투자신탁(일반상품-파생형),미래에셋자산운용,높은위험,36.07,68.04,64.53
3,키움Commodity인덱스플러스특별자산자투자신탁 1[상품-파생형],키움투자자산운용,높은위험,37.4,65.15,55.3
4,KB원자재특별자산자투자신탁(상품파생형)(운용),케이비자산운용,높은위험,35.93,64.87,64.3
5,하이월드에너지증권자투자신탁(주식-재간접형)(UH),하이자산운용,매우높은위험,35.69,57.72,33.83
6,미래에셋로저스농산물지수특별자산자투자신탁(일반상품-파생형),미래에셋자산운용,다소높은위험,29.43,54.51,85.02
7,한국투자미국MLP특별자산자투자신탁(오일가스인프라-파생형),한국투자신탁운용,매우높은위험,26.03,52.21,16.11
8,하이월드에너지증권자투자신탁(주식-재간접형)(H),하이자산운용,매우높은위험,34.83,49.71,22.44
9,신한포커스농산물증권자투자신탁 1[채권-파생형](종류),신한자산운용,다소높은위험,28.85,46.21,64.48
10,멀티에셋짐로저스농산물인덱스증권자투자신탁 1[채권-파생형],멀티에셋자산운용,다소높은위험,25.64,45.18,75.51
11,미래에셋맵스아시아퍼시픽부동산공모 1,미래에셋자산운용,높은위험,5.96,44.78,81.11
12,한화에너지인프라MLP특별자산자투자회사(인프라-재간접형),한화자산운용,매우높은위험,22.34,40.23,3.85
13,하이월드광업주증권자투자신탁(주식-재간접형)(UH),하이자산운용,매우높은위험,37.49,38.41,103.91
14,삼성인도중소형FOCUS증권자투자신탁H[주식-파생형],삼성자산운용,매우높은위험,1.09,33.61,70.49
15,하이월드광업주증권자투자신탁(주식-재간접형)(H),하이자산운용,매우높은위험,37.58,32.46,88.97
16,하나UBS기업은행-삼성중공업주가연계파생상품투자신탁 1,하나유비에스자산운용,매우높은위험,27.87,32.34,42.29
17,미래에셋변액보험베트남증권투자신탁(H-USD)(주식-파생형),미래에셋자산운용,높은위험,4.56,31.17,
18,미래에셋베트남증권자투자신탁 1(H-USD)(주식-파생형),미래에셋자산운용,높은위험,5.43,30.18,47.34
19,KB스타베트남VN30인덱스증권자투자신탁(주식-파생형)(운용),케이비자산운용,높은위험,6.27,28.51,
20,한화분기배당형에너지인프라MLP특별자산자투자회사(인프라-재간접형),한화자산운용,매우높은위험,16.81,27.68,-23.27
21,슈로더라틴아메리카증권자투자신탁(주식-재간접형),슈로더투자신탁운용,매우높은위험,21.51,25.06,24.92
22,한국투자Parallel유전해외자원개발특별자산투자회사 1(지분증권),한국투자신탁운용,매우높은위험,19.94,25.01,-28.96
23,KB미국데이터센터인프라리츠부동산자투자신탁(재간접형)(UH)(운용),케이비자산운용,높은위험,6.3,24.72,
24,미래에셋맵스미국부동산투자신탁16,미래에셋자산운용,매우높은위험,15.5,24.66,
25,삼성누버거버먼미국리츠부동산자투자신탁H[REITs-재간접형],삼성자산운용,높은위험,9.35,24.15,
26,메리츠글로벌리츠부동산자투자신탁[리츠-재간접형],메리츠자산운용,높은위험,9.43,23.97,
27,유경플레인바닐라부동산인프라자투자신탁(재간접형),유경피에스지자산운용,높은위험,8.63,22.94,
28,대신글로벌리츠부동산자투자신탁2(UH)[리츠-재간접형](운용),대신자산운용,높은위험,8.52,22.94,
29,한화브라질증권자투자신탁(주식-재간접형),한화자산운용,매우높은위험,15.39,21.57,20.59
30,이지스부동산투자신탁 194,이지스자산운용,높은위험,0.75,21.52,31.69
31,삼성인디아증권자투자신탁 3[주식-파생형],삼성자산운용,높은위험,-1.52,21.07,62.16
32,삼성아세안플러스베트남증권자투자신탁H[주식-파생형],삼성자산운용,높은위험,7.29,20.73,54.49
33,우리프랭클린인디아증권자투자신탁(UH)(주식-재간접형),우리자산운용,높은위험,-2.69,20.62,52.21
34,미래에셋맵스미국부동산투자신탁 11,미래에셋자산운용,높은위험,6.49,20.15,52.26
35,AB미국그로스UH증권투자신탁(주식-재간접형),얼라이언스번스틴자산운용,높은위험,0.5,20.13,
36,미래에셋미국인덱스EMP증권자투자신탁(주식-재간접형),미래에셋자산운용,높은위험,6.41,20.07,68.95
37,미래에셋맵스미국부동산투자신탁 9-2,미래에셋자산운용,높은위험,10.39,20.,50.
38,하나UBS글로벌리츠부동산투자신탁[재간접형],하나유비에스자산운용,높은위험,6.63,19.66,26.48
39,대신글로벌리츠부동산자투자신탁 1(H)[리츠-재간접형](운용),대신자산운용,높은위험,7.77,19.23,
40,삼성로스차일드4차산업빅데이터증권자투자신탁UH[주식-재간접형],삼성자산운용,다소높은위험,6.5,18.97,80.5
41,KB연금미국S&P500인덱스증권자투자신탁(주식-파생형)(운용),케이비자산운용,높은위험,6.84,18.22,64.25
42,KB스타미국S&P500인덱스증권자투자신탁[주식-파생형](운용),케이비자산운용,높은위험,6.35,18.18,63.93
43,KB글로벌코어리츠부동산자투자신탁(재간접형)(H)(운용),케이비자산운용,높은위험,6.99,18.11,
44,NH-Amundi코리아2배인버스레버리지증권투자신탁[주식-파생재간접형],엔에이치아문디자산운용,매우높은위험,13.11,18.02,-65.12
45,KB스타미국나스닥100인덱스증권자투자신탁(주식-파생형)(운용),케이비자산운용,높은위험,2.82,18.,101.7
46,한국투자ANKOR유전해외자원개발특별자산투자회사 1[지분증권],한국투자신탁운용,매우높은위험,5.81,17.91,-2.82
47,한화K리츠플러스부동산자투자신탁(H)(리츠-재간접형),한화자산운용,높은위험,7.96,17.76,
48,한화글로벌리츠부동산자투자신탁(리츠-재간접형),한화자산운용,높은위험,7.5,17.67,23.55
49,키움불리오글로벌멀티에셋EMP증권자투자신탁(UH)[혼합-재간접형],키움투자자산운용,높은위험,4.8,17.59,
50,타임폴리오위드타임증권자투자신탁(사모투자재간접형),타임폴리오자산운용,매우높은위험,8.28,17.27,
