순서,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률
1,멀티에셋삼바브라질증권자투자신탁[채권],멀티에셋자산운용,다소높은위험,5.28,10.65,6.62
2,미래에셋인도채권증권자투자신탁 1(채권),미래에셋자산운용,보통위험,1.67,9.08,15.41
3,NH-AmundiUSD초단기채권증권자투자신탁(UH)[채권],엔에이치아문디자산운용,보통위험,1.93,6.4,10.7
4,미래에셋달러단기자금증권자투자신탁(USD)(채권),미래에셋자산운용,낮은위험,1.35,6.27,10.1
5,미래에셋미국달러채권증권자투자신탁 1(UH)(채권),미래에셋자산운용,보통위험,1.3,6.15,9.38
6,삼성달러표시단기채권증권자투자신탁(USD)[채권],삼성자산운용,낮은위험,0.87,5.77,10.64
7,삼성달러표시단기채권증권자투자신탁UH[채권],삼성자산운용,보통위험,0.82,5.39,10.07
8,트러스톤코리아외화채권증권자투자신탁(UH)[채권](운용),트러스톤자산운용,보통위험,-0.37,4.28,15.08
9,삼성미국투자적격장기채권증권자투자신탁UH[채권],삼성자산운용,보통위험,-7.25,3.16,
10,미래에셋달러우량중장기채권증권자투자신탁(UH)(채권),미래에셋자산운용,보통위험,-2.88,2.54,11.07
11,미래에셋미국달러우량회사채증권자투자신탁 1(UH)(채권),미래에셋자산운용,다소높은위험,-5.35,2.4,17.59
12,한화연금단기하이일드증권자투자신탁(채권),한화자산운용,보통위험,-0.26,2.35,10.38
13,KB글로벌리얼에셋인컴증권자투자신탁(채권)(H)(운용),케이비자산운용,다소높은위험,-3.43,1.85,15.89
14,브이아이든든한증권투자신탁[채권],브이아이자산운용,매우낮은위험,0.86,1.77,7.17
15,마이다스단기크레딧프리미엄증권투자신탁(채권)(운용),마이다스에셋자산운용,낮은위험,0.7,1.68,
16,현대트러스트단기채증권자투자신탁 1[채권](운용),현대자산운용,낮은위험,1.03,1.64,
17,한화단기하이일드증권자투자신탁(채권),한화자산운용,보통위험,-1.,1.57,9.26
18,IBK단기크레딧플러스증권자투자신탁[채권],아이비케이자산운용,매우낮은위험,0.8,1.57,7.28
19,대신단기채증권투자신탁[채권](운용),대신자산운용,낮은위험,0.75,1.55,4.93
20,우리2년만기전략채권증권투자신탁3(채권),우리자산운용,낮은위험,0.99,1.55,
21,대신우량단기채증권투자신탁3[채권](운용),대신자산운용,낮은위험,0.97,1.53,
22,DB2년만기형증권투자신탁 3[채권]_운용,디비자산운용,낮은위험,0.81,1.48,
23,흥국ESG2년만기증권투자신탁 1[채권],흥국자산운용,낮은위험,0.87,1.47,
24,코레이트더블루B증권투자신탁[채권]운용,코레이트자산운용,낮은위험,0.69,1.46,6.44
25,칸서스튼튼우량단기채증권투자신탁 1(채권),칸서스자산운용,낮은위험,0.94,1.45,
26,신한만기투자형증권투자신탁2[채권](종류),신한자산운용,낮은위험,0.78,1.43,
27,흥국ESG2년만기증권투자신탁2[채권],흥국자산운용,낮은위험,0.84,1.38,
28,코레이트셀렉트단기채증권투자신탁[채권],코레이트자산운용,매우낮은위험,0.64,1.33,6.94
29,키움더드림단기채증권투자신탁[채권],키움투자자산운용,낮은위험,0.67,1.27,5.81
30,현대인베스트먼트단기증권자투자신탁 1(채권),현대인베스트먼트자산운용,매우낮은위험,0.89,1.25,5.42
31,하이똑똑단기채증권투자신탁(채권),하이자산운용,매우낮은위험,0.79,1.23,4.69
32,유진챔피언코리아만기투자형증권투자신탁9[채권],유진자산운용,낮은위험,0.63,1.22,
33,우리단기채권증권투자신탁(채권),우리자산운용,매우낮은위험,0.69,1.18,5.76
34,삼성단기채권2Y증권투자신탁 1[채권],삼성자산운용,낮은위험,0.77,1.16,
35,하나UBS파워e단기채증권자투자신탁[채권],하나유비에스자산운용,매우낮은위험,0.77,1.15,4.65
36,코레이트더블루A증권투자신탁[채권]운용,코레이트자산운용,낮은위험,0.44,1.13,5.93
37,칸서스튼튼으뜸단기채증권투자신탁 1(채권),칸서스자산운용,낮은위험,0.39,1.13,
38,칸서스튼튼단기채증권투자신탁 1(채권),칸서스자산운용,낮은위험,0.73,1.11,5.88
39,IBK단기채증권자투자신탁[채권],아이비케이자산운용,매우낮은위험,0.5,1.08,6.31
40,BNK튼튼단기채증권투자신탁(채권),비엔케이자산운용,낮은위험,0.39,1.08,
41,신한만기투자형증권투자신탁3[채권](종류),신한자산운용,낮은위험,0.61,1.04,
42,IBK단기국공채증권자투자신탁[채권],아이비케이자산운용,매우낮은위험,0.6,0.95,4.04
43,KB연금단기채증권전환형자투자신탁(채권)(운용),케이비자산운용,매우낮은위험,0.62,0.95,4.9
44,한화단기국공채증권자투자신탁(채권),한화자산운용,매우낮은위험,0.62,0.95,4.04
45,KB스타단기채증권자투자신탁(채권)(운용),케이비자산운용,매우낮은위험,0.61,0.95,4.91
46,키움단기국공채증권자투자신탁 1[채권],키움투자자산운용,매우낮은위험,0.58,0.94,4.48
47,NH-Amundi2년만기증권투자신탁[채권],엔에이치아문디자산운용,낮은위험,0.64,0.93,
48,NH-Amundi하나로단기채증권투자신탁[채권],엔에이치아문디자산운용,매우낮은위험,0.44,0.91,5.32
49,유진챔피언단기채증권자투자신탁(채권),유진자산운용,매우낮은위험,0.54,0.86,4.96
50,우리하이플러스채권증권자투자신탁 1(채권),우리자산운용,매우낮은위험,0.29,0.82,5.68
