순서,펀드명,운용사명,위험,6개월 수익률,1년 수익률,3년 수익률
1,한국월드와이드베트남혼합증권투자신탁 2,한국투자신탁운용,매우높은위험,15.04,50.22,95.12
2,KB베트남포커스증권자투자신탁(주식혼합)(운용),케이비자산운용,높은위험,12.33,49.95,90.99
3,한국투자베트남증권자투자신탁 1(주식혼합),한국투자신탁운용,높은위험,13.78,43.89,84.4
4,한국투자연금베트남증권자투자신탁(주식혼합),한국투자신탁운용,높은위험,12.91,42.6,82.01
5,대신VIP Asia Growth 증권투자신탁[주식혼합](운용),대신자산운용,높은위험,3.2,39.71,69.75
6,우리차이나전환사채증권자투자신탁UH(채권혼합),우리자산운용,높은위험,7.54,36.65,
7,메리츠베트남증권투자신탁[주식혼합],메리츠자산운용,높은위험,9.87,32.04,58.18
8,우리베트남민영화혼합증권투자신탁 1,우리자산운용,높은위험,11.85,31.78,59.53
9,미래에셋베트남증권투자회사 1(주식혼합),미래에셋자산운용,높은위험,4.87,25.24,47.46
10,현대인베스트벤처기업&IPO증권투자신탁 1(주식혼합),현대인베스트먼트자산운용,매우높은위험,5.13,14.98,50.05
11,유리베트남공모주증권자투자신탁[채권혼합]운용,유리자산운용,보통위험,6.85,14.48,36.59
12,삼성퇴직연금인도중소형FOCUS40증권자투자신탁UH[채권혼합],삼성자산운용,보통위험,1.15,14.32,34.15
13,브레인코스닥벤처증권투자신탁(주식혼합),브레인자산운용,높은위험,-5.17,13.95,78.5
14,한국투자퇴직연금베트남그로스40증권자투자신탁(채권혼합),한국투자신탁운용,보통위험,2.81,11.31,22.96
15,삼성퇴직연금인디아40증권자투자신탁 1[채권혼합],삼성자산운용,보통위험,0.23,10.43,30.27
16,한국투자베트남IPO증권투자신탁(채권혼합),한국투자신탁운용,보통위험,1.95,9.51,34.81
17,다올KTB코스닥벤처증권투자신탁[주식혼합](운),다올자산운용,높은위험,-1.05,9.41,51.1
18,KB코스닥벤처기업소득공제증권투자신탁 1(주식혼합)(운용),케이비자산운용,매우높은위험,0.32,9.32,64.01
19,에셋플러스해피드림투게더퇴직연금증권자투자신탁 1[주식혼합],에셋플러스자산운용,보통위험,4.65,9.32,20.25
20,현대M멀티-헤지코스닥벤처증권투자신탁 1[주식혼합],현대자산운용,높은위험,3.35,8.52,
21,IBK퇴직연금가치형롱숏40자투자신탁[채권혼합],아이비케이자산운용,낮은위험,2.58,8.45,18.24
22,에셋원공모주코넥스하이일드증권투자신탁2[채권혼합],웰컴자산운용,보통위험,-1.88,8.23,
23,삼성퇴직연금미국코어주식40증권자투자신탁UH[채권혼합],삼성자산운용,보통위험,1.98,7.38,27.04
